3,3,3,0,0
9,6,9,0,0
26,17,26,0,0
78,52,78,0,0
230,152,230,0,0
677,447,677,0,0
1981,1304,1981,0,0
5784,3803,5784,0,0
16662,10878,16662,0,0
46227,29565,46227,0,0
116395,70168,116395,0,0
238760,122365,238760,0,0
361230,122470,361230,0,0
427481,66251,427482,1,0
453871,26390,453874,3,0
464826,10955,464835,9,0
469899,5073,469925,25,1
472651,2752,472729,74,4
474044,1393,474274,219,11
474581,537,475258,639,38
473904,-677,475885,1876,105
470531,-3373,476315,5467,317
459906,-10625,476568,15776,886
430495,-29411,476722,43790,2437
360431,-70064,476826,110093,6302
238120,-122311,476880,225927,12833
115681,-122439,476911,341814,19416
49445,-66236,476927,404473,23009
23060,-26385,476934,429386,24488
12102,-10958,476937,439723,25112
7014,-5088,476939,444536,25389
4211,-2803,476940,447183,25546
2669,-1542,476943,448629,25645
1686,-983,476944,449557,25701
1060,-626,476945,450157,25728
631,-429,476946,450567,25748
378,-253,476946,450802,25766
224,-154,476946,450951,25771
120,-104,476946,451049,25777
66,-54,476946,451102,25778
35,-31,476946,451130,25781
19,-16,476946,451145,25782
12,-7,476946,451152,25782
9,-3,476946,451155,25782
7,-2,476946,451157,25782
6,-1,476946,451158,25782
3,-3,476946,451161,25782
2,-1,476946,451162,25782
1,-1,476946,451162,25783
0,-1,476946,451163,25783
0,0,476946,451163,25783
0,0,476946,451163,25783
0,0,476946,451163,25783
0,0,476946,451163,25783
0,0,476946,451163,25783
0,0,476946,451163,25783
0,0,476946,451163,25783
0,0,476946,451163,25783
0,0,476946,451163,25783
0,0,476946,451163,25783
0,0,476946,451163,25783
0,0,476946,451163,25783
0,0,476946,451163,25783
