1,1,1,0,0
1,0,1,0,0
1,0,1,0,0
2,1,2,0,0
2,0,2,0,0
2,0,2,0,0
4,2,4,0,0
6,2,6,0,0
7,1,7,0,0
8,1,8,0,0
10,2,10,0,0
12,2,12,0,0
14,2,14,0,0
17,3,18,1,0
21,4,22,1,0
33,12,34,1,0
44,11,45,1,0
59,15,61,2,0
75,16,77,2,0
95,20,97,2,0
126,31,128,2,0
170,44,174,4,0
230,60,235,5,0
317,87,323,6,0
416,99,422,6,0
548,132,556,8,0
707,159,717,10,0
935,228,951,14,2
1253,318,1273,18,2
1624,371,1656,28,4
1847,223,1881,30,4
2166,319,2218,46,6
2525,359,2593,60,8
2953,428,3041,78,10
3546,593,3649,89,14
4015,469,4152,114,23
4434,419,4632,164,34
5069,635,5349,236,44
5835,766,6175,288,52
6751,916,7210,389,70
7750,999,8339,496,93
8879,1129,9672,675,118
9917,1038,11027,951,159
11099,1182,12487,1191,197
12653,1554,14280,1387,240
14287,1634,16286,1719,280
15908,1621,18297,2066,323
17743,1835,20606,2481,382
19926,2183,23445,3057,462
22528,2602,26565,3500,537
25457,2929,30075,4014,604
28347,2890,33677,4622,708
31666,3319,37820,5367,787
35005,3339,42183,6265,913
38577,3572,46877,7231,1069
42431,3854,52052,8417,1204
46969,4538,57940,9617,1354
51890,4921,64309,10948,1471
56810,4920,71011,12537,1664
61689,4879,77885,14325,1871
66911,5222,85112,16097,2104
72486,5575,92987,18209,2292
78316,5830,101646,20757,2573
84136,5820,110575,23559,2880
89725,5589,119666,26695,3246
95036,5311,128559,29825,3698
99994,4958,137653,33560,4099
105178,5184,147175,37517,4480
110031,4853,156707,41759,4917
114971,4940,166797,46529,5297
118806,3835,176495,51866,5823
121631,2825,185655,57688,6336
124188,2557,194901,63799,6914
126486,2298,204044,70140,7418
128341,1855,213101,76902,7858
129262,921,221862,84161,8439
129332,70,230562,92197,9033
128459,-873,238591,100302,9830
127605,-854,246805,108760,10440
126727,-878,254787,117062,10998
124931,-1796,262047,125392,11724
122619,-2312,269244,134373,12252
120190,-2429,276290,143202,12898
116752,-3438,282902,152493,13657
113494,-3258,289317,161526,14297
110277,-3217,295289,170134,14878
106740,-3537,301027,178761,15526
103054,-3686,306530,187317,16159
99119,-3935,311685,195898,16668
94943,-4176,316356,204165,17248
90893,-4050,321067,212555,17619
87318,-3575,325572,220188,18066
83043,-4275,329491,227587,18861
78967,-4076,333387,234941,19479
75024,-3943,336711,241729,19958
71240,-3784,340132,248520,20372
67491,-3749,343425,255062,20872
63791,-3700,346365,261228,21346
60086,-3705,349091,267111,21894
56644,-3442,351669,272695,22330
53260,-3384,354066,278056,22750
50014,-3246,356341,283254,23073
47034,-2980,358541,288135,23372
44286,-2748,360486,292414,23786
41398,-2888,362307,296702,24207
38703,-2695,364124,300962,24459
36515,-2188,365856,304659,24682
34274,-2241,367512,308259,24979
32442,-1832,368997,311372,25183
30223,-2219,370198,314615,25360
28170,-2053,371443,317673,25600
26313,-1857,372534,320420,25801
24568,-1745,373511,322928,26015
22997,-1571,374525,325332,26196
21561,-1436,375489,327584,26344
20197,-1364,376419,329742,26480
18769,-1428,377198,331655,26774
17639,-1130,378021,333551,26831
16544,-1095,378753,335156,27053
15461,-1083,379500,336831,27208
14338,-1123,380114,338479,27297
13303,-1035,380746,340053,27390
12301,-1002,381229,341493,27435
11585,-716,381719,342574,27560
10804,-781,382189,343740,27645
10101,-703,382582,344680,27801
9581,-520,383043,345593,27869
8934,-647,383415,346508,27973
8320,-614,383767,347423,28024
7755,-565,384134,348316,28063
7316,-439,384470,349038,28116
6748,-568,384728,349773,28207
6339,-409,385053,350489,28225
5846,-493,385312,351211,28255
5480,-366,385563,351748,28335
5052,-428,385767,352328,28387
4741,-311,385941,352772,28428
4458,-283,386146,353187,28501
4172,-286,386326,353631,28523
3939,-233,386487,354023,28525
3608,-331,386616,354465,28543
3356,-252,386738,354799,28583
3163,-193,386901,355148,28590
2914,-249,387019,355474,28631
2661,-253,387106,355796,28649
2526,-135,387232,356039,28667
2291,-235,387325,356367,28667
2116,-175,387413,356630,28667
1961,-155,387509,356856,28692
1847,-114,387597,357058,28692
