1,1,1,0,0
2,1,2,0,0
4,2,4,0,0
7,3,7,0,0
8,1,8,0,0
11,3,11,0,0
15,4,15,0,0
23,8,23,0,0
33,10,33,0,0
37,4,37,0,0
52,15,52,0,0
69,17,69,0,0
96,27,96,0,0
133,37,134,1,0
173,40,174,1,0
245,72,247,1,1
330,85,334,3,1
440,110,447,6,1
590,150,598,6,2
801,211,812,9,2
1097,296,1110,11,2
1483,386,1502,17,2
1955,472,1982,25,2
2658,703,2688,28,2
3596,938,3640,42,2
4863,1267,4920,55,2
6581,1718,6659,75,3
8819,2238,8931,108,4
11875,3056,12024,145,4
16019,4144,16230,204,7
21575,5556,21856,271,10
28864,7289,29377,361,152
38551,9687,39411,485,375
51420,12869,52713,655,638
68435,17015,70338,896,1007
89674,21239,94287,1221,3392
115514,25840,125730,1602,8614
147902,32388,165327,2166,15259
189200,41298,215863,2939,23724
240854,51654,279253,3970,34429
305953,65099,359132,5383,47796
386394,80441,458093,7198,64501
484895,98501,579463,9705,84863
604842,119947,727616,13125,109649
749138,144296,906304,17680,139486
917581,168443,1115945,23721,174643
1110368,192787,1357647,31909,215370
1326701,216333,1630378,42576,261101
1559992,233291,1927853,56931,310930
1802416,242424,2243120,76263,364441
2045453,243037,2566152,101799,418900
2277779,232326,2885188,133843,473566
2489689,211910,3190164,174790,525685
2670346,180657,3470050,226140,573564
2812710,142364,3720545,291047,616788
2911596,98886,3938102,371295,655211
2962844,51248,4120844,468377,689623
2964594,1750,4271371,585202,721575
2916739,-47855,4392613,726112,749762
2822608,-94131,4489407,891410,775389
2684955,-137653,4565616,1081729,798932
2507360,-177595,4625488,1296731,821397
2297726,-209634,4671546,1531305,842515
2064917,-232809,4707079,1779469,862693
1818376,-246541,4734367,2034225,881766
1570461,-247915,4755338,2285288,899589
1329641,-240820,4771187,2525792,915754
1106446,-223195,4783395,2746710,930239
905219,-201227,4792579,2944518,942842
729854,-175365,4799655,3116406,953395
581865,-147989,4804902,3261054,961983
459934,-121931,4808896,3380247,968715
360939,-98995,4811968,3476811,974218
281574,-79365,4814296,3554183,978539
218359,-63215,4816047,3615678,982010
167878,-50481,4817379,3664695,984806
127942,-39936,4818376,3703441,986993
97536,-30406,4819178,3732958,988684
75333,-22203,4819716,3754486,989897
58385,-16948,4820161,3770874,990902
45536,-12849,4820515,3783365,991614
35597,-9939,4820775,3793009,992169
28099,-7498,4821002,3800322,992581
22392,-5707,4821182,3805848,992942
18108,-4284,4821307,3810011,993188
14779,-3329,4821419,3813288,993352
12163,-2616,4821489,3815823,993503
10110,-2053,4821549,3817839,993600
8472,-1638,4821593,3819436,993685
7087,-1385,4821626,3820779,993760
5892,-1195,4821652,3821954,993806
4743,-1149,4821673,3823053,993877
3679,-1064,4821684,3824071,993934
2778,-901,4821692,3824928,993986
2105,-673,4821699,3825569,994025
1614,-491,4821704,3826036,994054
1258,-356,4821712,3826383,994071
946,-312,4821714,3826685,994083
729,-217,4821719,3826890,994100
559,-170,4821723,3827052,994112
454,-105,4821728,3827159,994115
353,-101,4821729,3827255,994121
276,-77,4821730,3827328,994126
210,-66,4821730,3827391,994129
160,-50,4821732,3827443,994129
118,-42,4821732,3827483,994131
89,-29,4821732,3827509,994134
72,-17,4821734,3827525,994137
59,-13,4821734,3827536,994139
50,-9,4821734,3827544,994140
37,-13,4821734,3827556,994141
30,-7,4821734,3827562,994142
25,-5,4821734,3827567,994142
19,-6,4821734,3827573,994142
13,-6,4821734,3827579,994142
13,0,4821735,3827580,994142
11,-2,4821735,3827582,994142
8,-3,4821735,3827585,994142
5,-3,4821735,3827588,994142
4,-1,4821735,3827589,994142
