2,2,2,0,0
3,1,3,0,0
5,2,6,1,0
7,2,9,2,0
8,1,11,3,0
10,2,16,6,0
13,3,19,6,0
17,4,25,8,0
21,4,34,13,0
28,7,44,16,0
34,6,56,22,0
46,12,74,28,0
64,18,102,38,0
79,15,132,53,0
111,32,182,62,9
137,26,236,90,9
187,50,316,120,9
281,94,431,141,9
403,122,583,171,9
508,105,785,233,44
647,139,1039,348,44
827,180,1371,500,44
1113,286,1825,668,44
1511,398,2447,892,44
1973,462,3245,1228,44
2699,726,4314,1571,44
3495,796,5704,2165,44
4603,1108,7504,2848,53
6035,1432,9874,3761,78
7617,1582,12840,4948,275
8565,948,15772,6539,668
9359,794,18793,8393,1041
9809,450,22099,10875,1415
9976,167,25229,13226,2027
10155,179,28447,15972,2320
10492,337,31949,18763,2694
10543,51,35161,21520,3098
10631,88,38542,24506,3405
10533,-98,42095,27899,3663
10723,190,45585,31060,3802
11033,310,49278,34079,4166
11186,153,52824,36942,4696
10791,-395,55977,39949,5237
10587,-204,59356,43194,5575
10246,-341,62538,46406,5886
10319,73,65545,49148,6078
10172,-147,68750,52264,6314
9916,-256,71669,55091,6662
9733,-183,74698,58154,6811
9501,-232,77697,61280,6916
9231,-270,80374,63851,7292
9153,-78,83197,66414,7630
8946,-207,85846,69031,7869
8823,-123,88342,71297,8222
8278,-545,90601,73800,8523
7888,-390,92833,76236,8709
7630,-258,94999,78554,8815
7653,23,97238,80687,8898
7364,-289,99344,82982,8998
7197,-167,101475,85190,9088
6991,-206,103494,87378,9125
7108,117,105614,89381,9125
7196,88,107719,91370,9153
7300,104,109740,93146,9294
7243,-57,111745,95149,9353
7213,-30,113788,97174,9401
7084,-129,115726,99182,9460
6937,-147,117616,101180,9499
6657,-280,119354,103062,9635
6334,-323,121037,104986,9717
5930,-404,122590,106813,9847
5659,-271,124073,108483,9931
5431,-228,125486,109976,10079
5418,-13,126964,111467,10079
5363,-55,128304,112852,10089
5458,95,129719,114150,10111
5014,-444,130869,115573,10282
4944,-70,132142,116851,10347
4658,-286,133304,118269,10377
4581,-77,134489,119463,10445
4354,-227,135560,120692,10514
4268,-86,136687,121905,10514
3991,-277,137728,123182,10555
3948,-43,138709,124177,10584
3795,-153,139735,125322,10618
3535,-260,140619,126431,10653
3379,-156,141462,127342,10741
3081,-298,142264,128337,10846
2988,-93,143044,129175,10881
2855,-133,143719,129954,10910
2644,-211,144364,130754,10966
2529,-115,145006,131511,10966
2481,-48,145601,132129,10991
2324,-157,146150,132835,10991
2168,-156,146660,133439,11053
2012,-156,147146,134081,11053
1977,-35,147675,134645,11053
1937,-40,148201,135211,11053
1891,-46,148685,135741,11053
1756,-135,149067,136173,11138
1590,-166,149425,136663,11172
1562,-28,149855,137084,11209
1450,-112,150174,137464,11260
1416,-34,150539,137863,11260
1265,-151,150816,138208,11343
1180,-85,151091,138534,11377
1031,-149,151350,138872,11447
1025,-6,151619,139147,11447
988,-37,151899,139464,11447
942,-46,152133,139744,11447
945,3,152370,139978,11447
887,-58,152578,140212,11479
879,-8,152777,140408,11490
833,-46,152986,140663,11490
787,-46,153153,140845,11521
745,-42,153322,141029,11548
703,-42,153494,141243,11548
637,-66,153660,141475,11548
616,-21,153839,141675,11548
589,-27,154012,141875,11548
588,-1,154192,142056,11548
560,-28,154343,142235,11548
463,-97,154437,142370,11604
407,-56,154546,142506,11633
388,-19,154661,142640,11633
419,31,154767,142715,11633
430,11,154870,142807,11633
407,-23,154962,142901,11654
392,-15,155048,142979,11677
360,-32,155133,143096,11677
354,-6,155218,143187,11677
278,-76,155254,143222,11754
244,-34,155325,143327,11754
229,-15,155390,143407,11754
255,26,155451,143440,11756
234,-21,155519,143529,11756
245,11,155584,143583,11756
225,-20,155641,143660,11756
226,1,155711,143729,11756
244,18,155779,143779,11756
230,-14,155844,143858,11756
203,-27,155888,143898,11787
188,-15,155941,143966,11787
186,-2,156001,144028,11787
193,7,156052,144072,11787
167,-26,156079,144125,11787
141,-26,156128,144200,11787
128,-13,156166,144251,11787
149,21,156200,144264,11787
141,-8,156239,144311,11787
119,-22,156269,144363,11787
124,5,156308,144397,11787
128,4,156339,144424,11787
123,-5,156364,144446,11795
127,4,156407,144485,11795
114,-13,156439,144530,11795
128,14,156469,144546,11795
110,-18,156494,144589,11795
113,3,156517,144609,11795
94,-19,156538,144649,11795
109,15,156561,144657,11795
106,-3,156581,144680,11795
128,22,156608,144685,11795
124,-4,156638,144719,11795
125,1,156659,144739,11795
143,18,156689,144751,11795
134,-9,156712,144783,11795
143,9,156738,144800,11795
138,-5,156763,144830,11795
124,-14,156788,144869,11795
121,-3,156811,144895,11795
129,8,156844,144920,11795
104,-25,156871,144972,11795
102,-2,156892,144995,11795
89,-13,156925,145041,11795
87,-2,156950,145068,11795
92,5,156976,145089,11795
102,10,157005,145108,11795
91,-11,157019,145118,11810
84,-7,157038,145139,11815
