0,0
0,0
0,0
0,3
0,3
0,3
0,3
0,3
0,6
0,6
0,6
0,6
0,6
0,3
29,3
29,30
29,30
29,30
29,27
45,28
45,58
45,83
45,221
45,249
16,355
16,464
16,643
16,817
45,1167
41,1620
42,1620
43,1617
43,1618
45,1619
45,1620
45,1614
45,1604
45,1594
17,1616
6,1502
6,1620
7,1619
11,1604
11,1616
13,1592
14,1608
14,1614
15,1595
15,1564
15,1577
16,1618
15,1617
11,1620
10,1619
8,1617
7,1605
7,1610
7,1615
6,1398
5,1286
3,1282
2,1446
2,1533
1,1614
1,1607
1,1574
1,1589
0,1557
1,1600
2,1563
3,1560
3,1538
3,1518
3,1476
3,1517
3,1551
3,1449
3,1489
2,1433
3,1288
3,1231
3,1132
3,970
4,965
5,933
5,920
6,922
8,834
8,809
7,813
8,700
8,697
9,739
8,746
8,678
8,598
7,579
5,525
5,525
5,487
3,515
3,473
2,400
2,352
1,355
1,357
1,286
1,345
1,291
0,294
0,269
0,264
1,294
1,261
2,252
3,208
3,203
3,128
3,109
3,95
3,95
3,109
3,97
3,114
2,105
1,123
1,123
2,138
3,125
3,111
3,118
3,92
2,73
2,67
2,67
2,49
2,64
1,49
0,49
0,49
0,41
0,40
0,40
0,29
0,29
0,43
0,30
0,30
0,30
0,42
0,28
0,28
0,28
0,39
0,39
0,37
0,37
0,54
0,54
0,58
0,58
0,58
0,85
0,74
0,95
0,83
0,81
0,64
0,64
0,48
0,48
0,56
0,29
0,29
0,22
0,22
0,22
0,22
0,22
0,35
